epoch,step,hour,lr,trn_loss,val_loss,val_l1_v,val_l1_a
0,0,0.001993571983443366,2e-05,3.3651747703552246,nan,nan,nan
0,0,0.012030415601200528,2e-05,nan,3.794096000989278,,
0,50,0.0251648928059472,2e-05,3.2324320316314696,nan,nan,nan
0,100,0.0414984710348977,2e-05,3.1607899284362793,nan,nan,nan
0,150,0.057828399340311684,2e-05,3.089219536781311,nan,nan,nan
0,200,0.07433140291108026,2e-05,3.0490782117843627,nan,nan,nan
0,200,0.08714800516764323,2e-05,nan,2.9833738168080646,,
0,250,0.10083066880702972,2e-05,2.963364338874817,nan,nan,nan
0,300,0.11739005578888786,2e-05,3.051612720489502,nan,nan,nan
0,350,0.13382368299696182,2e-05,2.9806715869903564,nan,nan,nan
0,400,0.17503537204530503,2e-05,3.0047695636749268,nan,nan,nan
0,400,0.18795911954508887,2e-05,nan,2.9037744204203286,,
0,450,0.20169803745216794,2e-05,2.9029825162887573,nan,nan,nan
0,500,0.21825482924779258,2e-05,2.9441093492507933,nan,nan,nan
0,550,0.2347568554348416,2e-05,2.981078872680664,nan,nan,nan
0,600,0.25124476181136235,2e-05,2.920250768661499,nan,nan,nan
0,600,0.2641655530532201,2e-05,nan,2.896924771202935,,
0,650,0.27788937515682643,2e-05,2.954536852836609,nan,nan,nan
0,700,0.29446977959738835,2e-05,2.905788345336914,nan,nan,nan
0,750,0.31101483702659605,2e-05,2.922854881286621,nan,nan,nan
0,800,0.3522683236996333,2e-05,2.7911795234680175,nan,nan,nan
0,800,0.3651721156968011,2e-05,nan,2.8776559591293336,,
0,850,0.3788926692803701,2e-05,2.9580256223678587,nan,nan,nan
0,900,0.3954938315682941,2e-05,2.9092289781570435,nan,nan,nan
0,950,0.4120261940691206,2e-05,2.9129094886779785,nan,nan,nan
0,1000,0.4286246684524748,2e-05,2.8797546863555907,nan,nan,nan
0,1000,0.44152760916286043,2e-05,nan,2.863635521464878,,
0,1050,0.4552587397230996,2e-05,2.887471628189087,nan,nan,nan
0,1100,0.4719150392876731,2e-05,2.8739865159988405,nan,nan,nan
0,1150,0.48851084139611983,2e-05,2.817530856132507,nan,nan,nan
0,1200,0.5297694167163637,2e-05,2.8128332901000976,nan,nan,nan
0,1200,0.5426990716987186,2e-05,nan,2.831503751542833,,
0,1250,0.556454511947102,2e-05,2.8003498935699462,nan,nan,nan
0,1300,0.5730651262071398,2e-05,2.872961483001709,nan,nan,nan
0,1350,0.5896779135862986,2e-05,2.83475341796875,nan,nan,nan
0,1400,0.6062413016955058,2e-05,2.841057257652283,nan,nan,nan
0,1400,0.6191843979226218,2e-05,nan,2.819320066769918,,
0,1450,0.6329178622033861,2e-05,2.8323871755599974,nan,nan,nan
0,1500,0.6494826947980457,2e-05,2.8802050590515136,nan,nan,nan
0,1550,0.6661042462454901,2e-05,2.8381374645233155,nan,nan,nan
0,1600,0.7072697893778483,2e-05,2.878916802406311,nan,nan,nan
0,1600,0.7202565485901303,2e-05,nan,2.8278690417607626,,
0,1650,0.733992169102033,2e-05,2.825542435646057,nan,nan,nan
0,1700,0.7505872580740187,2e-05,2.821057105064392,nan,nan,nan
1,1750,0.7672124868631363,2e-05,2.8035421323776246,nan,nan,nan
1,1800,0.7837235191795561,2e-05,2.8063746738433837,nan,nan,nan
1,1800,0.796667093899515,2e-05,nan,2.8015243318345813,,
1,1850,0.8103925381104151,2e-05,2.824576096534729,nan,nan,nan
1,1900,0.8270270299911499,2e-05,2.78335186958313,nan,nan,nan
1,1950,0.8435611219538582,2e-05,2.7703987169265747,nan,nan,nan
1,2000,0.8848535242345598,2e-05,2.794749517440796,nan,nan,nan
1,2000,0.8978277285893758,2e-05,nan,2.813313102722168,,
